NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
AM38160_90029568233;Artemio BROTHER SKITCH PP1 BRODEUSE AUTOMATIQUE, Gris;4,97777E+12;B0D1KG6JXW;LPNHE943136468;499;499;Wartość euro;1 443,35 €;;;;;Home;gl_home;20100200;Arts, Crafts & Sewing;20100214;Sewing , Embroidery & Serger Accessories
AM38160_90029568233;Brabantia - 211447 - Poubelle Ă  pĂ©dale Bo, Avec 2 seaux intĂ©rieurs, Blanc, 2 x 30 L;8,71076E+12;B07VWWQY65;LPNHE945918392;179;179;Wartość zł;6 292,98 zł;;;;;Home;gl_home;20100800;Housewares;20100820;Trash Containers
AM38160_90029568233;Trio Leuchten Pendelleuchte Lumina 317000613, Metall Schwarz matt, Glas amber, exkl. 6x E14, Bernsteinfarben;4,01781E+12;B0CTYMH9P9;LPNHE943136421;164,99;164,99;18,00%;1 132,74 zł;;;;;Home;gl_home;20100900;Lighting;20100903;Ceiling Lighting
AM38160_90029568233;Kitchen Craft Lot de 6 Cuiseurs Oeufs Acier;5,02825E+12;B0001IWYLY;LPNHE945980239;60,99;60,99;;;;;;;Home;gl_home;20101200;Tabletop;20100414;Pans
AM38160_90029568233;BPC Oreiller en Duvet 60x60 Lot de 2 Oreiller en Plumes, Noyau d'oreiller en Plumes et Duvet Ă  3 Chambres entourĂ© de Polyester et de Coton 100% Biologique, Oreiller 60x60 cm de Sommeil Doux-Moyen;;B0CPPKX4RW;LPNHE940568919;51,36;51,36;;;;;;;Home;gl_home;;;;
AM38160_90029568233;Niagara Bambus Matratzen Topper 160x200cm, kĂĽhlend, atmungsaktiv fĂĽr RĂĽckenschmerz-Linderung, Tiefe Taschen fĂĽr 20-50 cm Matratzen;;B0CL59L7DL;LPNHE940656790;47,88;47,88;;;;;;;Home;gl_home;;;;
AM38160_90029568233;Italian Bed Linen Glamour Rutschfester Sofabezug mit rechter Halbinsel, Beige, 190 cm;8,05858E+12;B0CLDX8RFG;LPNHE945771735;45,97;45,97;;;;;;;Home;gl_home;20101000;Linens;20101017;Furnishing Fabric
AM38160_90029568233;COZZEÂ® 90366 Pizzastein 34,5 Ă— 34,5 cm Cordererit FĂĽr Pizzaofen 90348/90349, L;5,70861E+12;B08VK6HL55;LPNHE941739240;39,99;39,99;;;;;;;Home;gl_home;20100300;Bakeware;20100306;Baking Sheets
AM38160_90029568233;Badewannensitz Senioren, Duschsitz Duschbank fĂĽr Badewanne, Badebrett Badewanne, Badewannenbrett mit 2 Verstellbaren Breiten, Aluminium, TragfĂ¤higkeit 120 kg, WeiĂź;;B0CGL777C8;LPNHE943043233;39,03;39,03;;;;;;;Home;gl_home;;;;
AM38160_90029568233;EHEYCIGA Topper 140x190, Memory Foam Topper Materasso Respirabile con Tasca Extra Profonda, Grigio Scuro;;B0CWL43SL7;LPNHE942548110;37,425;37,425;;;;;;;Home;gl_home;;;;
AM38160_90029568233;Relaxdays Badregal, 4 Ablagen, HxBxT: 88 x 30 x 18 cm, Standregal fĂĽr Badezimmer & KĂĽche, Bambus, MDF, Natur/schwarz;4,05203E+12;B0CWPBBTC2;LPNHE940569104;36,99;36,99;;;;;;;Home;gl_home;20100800;Housewares;20100816;Non Electric Floorcare
AM38160_90029568233;GSW 167413 Ceramica Kobaltblau Induktion ViereckbrĂ¤ter mit Aroma-Glasdeckel 28x28x8,5cm / ca. 5,0 Liter, Aluguss, schwarz/blau, 28 cm, 2-Einheiten;4,00564E+12;B015JE7ZS6;LPNHK396072433;36;36;;;;;;;Home;gl_home;20100400;Cookware;20100406;Dutch Ovens
AM38160_90029568233;DONAMA Memory Foam Kissen ergonomisches Nackenkissen Kopfkissen SeitenschlĂ¤ferkissen fĂĽr Seiten, RĂĽcken & BauchschlĂ¤fer;7,65151E+11;B0CSS9P4X8;LPNHE945963082;34,23;34,23;;;;;;;Home;gl_home;;;;
AM38160_90029568233;Iris Ohyama, Boite Croquette Chien Hermetique Ă  Roulettes, 40L/15kg, Noir, Couvercle Ă  Rabat avec Joint Etanche, Plastique, pour Chien, Chat, Friandises, Conteneur Croquettes, sans BPA, ATS-L;8,71638E+12;B00FG1CO20;LPNHE943136282;29,99;29,99;;;;;;;Pet Products;gl_pet_products;19900200;Habitats & Supplies;19900218;Feeding Supplies
AM38160_90029568233;SmartStore Vorratsdosen 1.6L Set mit 4 StĂĽck - 20% bio-basiertes Plastik Aufbewahrungsbox mit Deckel, BPA-frei, SpĂĽlmaschinenfest â€“ Stapelbare AufbewahrungsbehĂ¤lter fĂĽr die KĂĽche â€“12.5 x 9 x 20cm;6,41177E+12;B0CNXST22F;LPNHE941278291;26,17;26,17;;;;;;;Home;gl_home;20100800;Housewares;20100808;Home Storage & Organization
AM38160_90029568233;Relaxdays Orologio da Parete, senza Cornice, con Lancetta dei Secondi, Analogico, Salotto, Cucina, D: 35 cm, Nero-Bianco;4,05203E+12;B08JV9N9R1;LPNHE911902101;24,99;24,99;;;;;;;Home;gl_home;20100800;Housewares;20100808;Home Storage & Organization
AM38160_90029568233;Komfortec Oreillers 40x80 cm Lot de 2, Oreiller CertifiĂ©s Oeko-TEX avec garnissage 800g, HypoallergĂ©niques, Lavables, (Pillow);4,26071E+12;B0BS6SSW76;LPNHF002634345;23,9;23,9;;;;;;;Home;gl_home;20101000;Linens;20101024;Pillows
AM38160_90029568233;GARDINIA Rail pour rideaux GE2 avec montage sur chĂ˘ssis, 2 Rails, Plastique, 150 cm, Blanc;4,00302E+12;B071FJY2KZ;LPNHE933881630;23,09;23,09;;;;;;;Home;gl_home;20101000;Linens;20101012;Curtains Accessories
AM38160_90029568233;GARDINIA Rail pour rideaux GE2 avec montage sur chĂ˘ssis, 2 Rails, Plastique, 150 cm, Blanc;4,00302E+12;B071FJY2KZ;LPNHE933881631;23,09;23,09;;;;;;;Home;gl_home;20101000;Linens;20101012;Curtains Accessories
AM38160_90029568233;BEDSURE Hundebett flauschig kleine Hunde - 64x53x18cm Hundebett waschbar fĂĽr groĂźe Katzen oder kleine Hunde, quadratisches kuschelbett mit weich Rand und Rutschfester Boden, grau;;B0CHYDH3F9;LPNRP033556068;19,26;19,26;;;;;;;Pet Products;gl_pet_products;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;